id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
57,1741864719.5903254,6.0,,,1,1,52,52,1.0,52.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
58,1741864719.648707,6.0,,,1,1,444,444,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
59,1741864719.6978261,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
60,1741864719.9903243,6.0,,,1,1,52,52,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
61,1741864720.2203925,6.0,,,1,1,444,444,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
62,1741864720.2237782,6.0,,,1,1,96,96,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
63,1741864720.3012326,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
64,1741864720.3022373,6.0,,,1,1,1136,1136,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
65,1741864720.3209314,6.0,,,1,1,40,40,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
66,1741864720.3317013,6.0,,,1,1,96,96,1.0,55.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
67,1741864720.3743396,6.0,,,1,1,40,40,1.0,128.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,Normal,0
